欄1,機構名稱,權屬別,型態別,地址,修正地址,lon,lat
15082,金門縣烈嶼鄉衛生所,衛生所,衛生所,金門縣烈嶼鄉西口村西方6-5號,FALSE,118.2395729,24.435179
21791,十方牙醫診所,私立牙醫診所,牙醫診所,金門縣烈嶼鄉西路35-3號,FALSE,118.245518,24.4303685
19300,安康診所,私立西醫診所,西醫診所,金門縣烈嶼鄉東林街163號,FALSE,118.2484485,24.4275849
11720,大千牙醫診所,私立牙醫診所,牙醫診所,金門縣金城鎮民權路23號,FALSE,118.3138066,24.431652
17554,健康診所,私立西醫診所,西醫診所,金門縣金城鎮民權路27號3F,FALSE,118.313809,24.431726
18195,康健診所,私立西醫診所,西醫診所,金門縣金城鎮民權路27號,FALSE,118.313809,24.431726
19432,晨曦牙醫診所,私立牙醫診所,牙醫診所,金門縣金城鎮民族路276號,FALSE,118.3149802,24.4304769
21306,林怡廷皮膚科診所,私立西醫診所,西醫診所,金門縣金城鎮莒光路178號,FALSE,118.3158108,24.4341083
7608,李月娥家醫科婦產科診所,私立西醫診所,西醫專科診所,金門縣金城鎮中興市場路161巷23號1樓,FALSE,118.3175555,24.4337836
19545,顏存仁中醫診所,私立中醫診所,中醫診所,金門縣金城鎮莒光路59號,FALSE,118.3175796,24.4321568
11941,安仁家醫科內科診所,私立西醫診所,西醫診所,金門縣金城鎮民權路141號,FALSE,118.317618,24.4361704
13460,千禧牙醫診所,私立牙醫診所,牙醫一般診所,金門縣金城鎮南門里9鄰民族路167號,FALSE,118.3177129,24.43369115
10460,金門縣金城鎮衛生所,衛生所,衛生所,金門縣金城鎮民權路一四七號,TRUE,118.317794,24.436319
3339,民生牙醫診所,私立牙醫診所,牙醫一般診所,金門縣金城鎮民生路45巷44號,FALSE,118.3181095,24.4349109
21029,愛人放心診所,私立西醫診所,西醫診所,金門縣金城鎮民權路226巷4弄7、8號,FALSE,118.3182559,24.43672855
7606,陳耳鼻喉科診所,私立西醫診所,西醫專科診所,金門縣金城鎮民生路六十一號,TRUE,118.318738,24.4360912
6480,佑城診所,私立西醫診所,西醫診所,金門縣金城鎮民生路北門里______________27巷2號,FALSE,118.3194773,24.4347693
3340,大安牙醫聯合診所,私立牙醫診所,牙醫專科診所,金門縣金城鎮民生路24號,FALSE,118.319671,24.4346571
19683,洪長享牙醫診所,私立牙醫診所,牙醫診所,金門縣金城鎮民權路226巷2弄13、15號1樓,FALSE,118.3197138,24.43973195
12764,惠明眼科診所,私立西醫診所,西醫專科診所,金門縣金城鎮民生路20號,FALSE,118.319735,24.434513
